# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.114733563713e-10       3.046700536181e-15       2.622354168446e-13       0.000000000000e+00       7.749324560605e-09       4.096674551685e-10      -1.527359828712e-12 
    3       1.053739603129e-10       3.917270991657e-15       2.956228066191e-13       0.000000000000e+00       4.715022209147e-09       2.867022622793e-10      -1.155946218263e-12 
    4       9.989035677196e-11       3.398122036160e-15       2.770853632807e-13       0.000000000000e+00       3.244771294881e-09       2.150237221964e-10      -7.532061847635e-13 
    5       9.598763136396e-11       2.273931685938e-15       2.364733821577e-13       0.000000000000e+00       2.401058928951e-09       1.685663097217e-10      -4.132095958586e-13 
    6       9.353325516149e-11       1.282795164214e-15       1.911073088908e-13       0.000000000000e+00       1.861618841040e-09       1.363283021689e-10      -1.620236165248e-13 
    7       9.216537348490e-11       7.135718346617e-16       1.509890887575e-13       0.000000000000e+00       1.491749433099e-09       1.128571466978e-10      -1.494519616537e-15 
    8       9.161324548837e-11       4.850546980229e-16       1.204652212143e-13       0.000000000000e+00       1.225219782038e-09       9.514306150808e-11       8.031334338402e-14 
    9       9.168168959299e-11       4.057113155428e-16       1.004368741579e-13       0.000000000000e+00       1.025960015940e-09       8.144939241631e-11       1.025191362737e-13 
   10       9.220057254448e-11       3.507600081714e-16       8.976777462402e-14       0.000000000000e+00       8.725684378961e-10       7.067386275218e-11       8.661433018679e-14 
   11       9.306198695666e-11       2.927714291118e-16       8.634233555840e-14       0.000000000000e+00       7.451432122387e-10       6.270346737147e-11       5.285661524427e-14 
   12       9.422822770206e-11       2.497406832981e-16       8.779288454963e-14       0.000000000000e+00       6.491092789109e-10       5.543575015647e-11       1.657689426961e-14 
   13       9.555467133831e-11       2.344286036687e-16       9.205157259320e-14       0.000000000000e+00       5.704727487740e-10       4.944318683685e-11      -1.188548925468e-14 
   14       9.710309779372e-11       2.414157870983e-16       9.764376425106e-14       0.000000000000e+00       5.052096998400e-10       4.425729347251e-11      -2.829447335356e-14 
   15       9.882099500267e-11       2.598287226105e-16       1.036131391375e-13       0.000000000000e+00       4.504106781191e-10       3.991882461596e-11      -3.249060630251e-14 
   16       1.006374843132e-10       2.858610644215e-16       1.095016645891e-13       0.000000000000e+00       4.039273025132e-10       3.620132445661e-11      -2.765530565130e-14 
   17       1.025433390053e-10       3.233816671755e-16       1.152272732950e-13       0.000000000000e+00       3.641418505761e-10       3.296547085206e-11      -1.821543793148e-14 
   18       1.045476184571e-10       3.773895139555e-16       1.210016917758e-13       0.000000000000e+00       3.296891989813e-10       3.014476770069e-11      -8.524165776763e-15 
   19       1.066506487349e-10       4.484674040672e-16       1.270360797050e-13       0.000000000000e+00       2.999901618454e-10       2.769614028458e-11      -1.111199323987e-15 
   20       1.088051790488e-10       5.350990725947e-16       1.334961027440e-13       0.000000000000e+00       2.738891500911e-10       2.551935591007e-11       2.151153760862e-15 
   21       1.110146469051e-10       6.365057993783e-16       1.403619144155e-13       0.000000000000e+00       2.509605344475e-10       2.357817632841e-11       1.465299046497e-15 
