# Matter power spectrum P(k) at redshift z=0
# for k=1.0756e-05 to 5.05928 h/Mpc,
# number of wavenumbers equal to 541
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.075595641369e-05       1.640305915777e+05 
       2.506818228124e-05       1.450513710742e+04 
       3.943970173348e-05       4.602043137431e+03 
       5.391826921033e-05       2.385335593548e+03 
       6.855258181608e-05       1.600785098832e+03 
       8.339281490234e-05       1.253087258679e+03 
       9.849117808251e-05       1.083016386025e+03 
       1.139025006603e-04       9.970205773868e+02 
       1.296848555047e-04       9.549532312578e+02 
       1.459002304222e-04       9.413196945188e+02 
       1.626152559764e-04       9.461531807339e+02 
       1.799019983399e-04       9.641988376993e+02 
       1.978388249638e-04       9.923835180334e+02 
       2.165113493332e-04       1.028647789874e+03 
       2.360134585056e-04       1.071924142602e+03 
       2.564484230016e-04       1.121537352714e+03 
       2.779300823240e-04       1.177229607864e+03 
       3.005840901019e-04       1.238684412073e+03 
       3.245491896530e-04       1.306129941161e+03 
       3.499784725329e-04       1.379750782504e+03 
       3.770405483374e-04       1.459713544262e+03 
       4.059205228533e-04       1.546485204702e+03 
       4.368206435621e-04       1.640483467267e+03 
       4.699604279261e-04       1.742246659548e+03 
       5.055760447502e-04       1.852416086002e+03 
       5.439186799037e-04       1.971586644485e+03 
       5.852515973056e-04       2.100453159102e+03 
       6.298456220034e-04       2.239731702067e+03 
       6.779728455585e-04       2.390000153348e+03 
       7.298985045244e-04       2.551603342821e+03 
       7.858712198764e-04       2.726013119411e+03 
       8.461120957031e-04       2.912612927997e+03 
       9.108035130982e-04       3.111908332294e+03 
       9.800787393052e-04       3.324064432966e+03 
       1.054013603291e-03       3.548786292657e+03 
       1.132621383586e-03       3.785671561790e+03 
       1.215851687364e-03       4.034066151268e+03 
       1.303593532156e-03       4.293213174434e+03 
       1.395682210468e-03       4.562328078436e+03 
       1.491908987772e-03       4.837877622316e+03 
       1.592032383337e-03       5.122995983315e+03 
       1.695789755582e-03       5.414022868374e+03 
       1.802908116008e-03       5.710001275526e+03 
       1.913113431076e-03       6.009749809904e+03 
       2.026138033821e-03       6.311943124708e+03 
       2.141726077537e-03       6.615357624883e+03 
       2.259637183339e-03       6.919305064848e+03 
       2.379648557374e-03       7.223123991671e+03 
       2.501555898998e-03       7.525813587963e+03 
       2.625173412846e-03       7.826151576787e+03 
       2.750333199085e-03       8.125663222466e+03 
       2.876884245027e-03       8.422125425113e+03 
       3.004691189378e-03       8.715690269765e+03 
       3.133632984034e-03       9.005701557886e+03 
       3.263601540084e-03       9.291859333040e+03 
       3.394500414922e-03       9.574017749851e+03 
       3.526243575185e-03       9.851890778796e+03 
       3.658754254424e-03       1.012537878810e+04 
       3.791963913477e-03       1.039434225513e+04 
       3.925811304325e-03       1.065854572966e+04 
       4.060241633705e-03       1.091820191806e+04 
       4.195205820085e-03       1.117302347336e+04 
       4.330659836327e-03       1.142332422779e+04 
       4.466564129808e-03       1.166831024528e+04 
       4.602883111892e-03       1.190908515876e+04 
       4.739584708979e-03       1.214445030981e+04 
       4.876639967945e-03       1.237496772428e+04 
       5.014022709428e-03       1.260124426672e+04 
       5.151709223079e-03       1.282255333073e+04 
       5.289677999554e-03       1.303815141352e+04 
       5.427909494636e-03       1.324881812865e+04 
       5.566385921414e-03       1.345545339053e+04 
       5.705091067007e-03       1.365725434709e+04 
       5.844010130698e-03       1.385433582703e+04 
       5.983129580812e-03       1.404597421448e+04 
       6.122437027980e-03       1.423501685382e+04 
       6.261921112749e-03       1.441812062740e+04 
       6.401571405767e-03       1.459721072563e+04 
       6.541378319008e-03       1.477284313088e+04 
       6.681333026685e-03       1.494330435715e+04 
       6.821427394692e-03       1.510887715647e+04 
       6.961653917561e-03       1.527086431072e+04 
       7.102005662048e-03       1.543056863225e+04 
       7.242476216559e-03       1.558390690010e+04 
       7.383059645777e-03       1.573416359470e+04 
       7.523750449857e-03       1.588008466504e+04 
       7.664543527705e-03       1.602218930443e+04 
