# Matter power spectrum P(k) at redshift z=0
# for k=1.0756e-05 to 5.05928 h/Mpc,
# number of wavenumbers equal to 541
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.075595641369e-05       1.640244872624e+05 
       2.506818228124e-05       1.450489334396e+04 
       3.943970173348e-05       4.602095001193e+03 
       5.391826921033e-05       2.385436841057e+03 
       6.855258181608e-05       1.600902092403e+03 
       8.339281490234e-05       1.253213582817e+03 
       9.849117808251e-05       1.083151526610e+03 
       1.139025006603e-04       9.971655175051e+02 
       1.296848555047e-04       9.551089363153e+02 
       1.459002304222e-04       9.414875181228e+02 
       1.626152559764e-04       9.463345283197e+02 
       1.799019983399e-04       9.643952164474e+02 
       1.978388249638e-04       9.925965807985e+02 
       2.165113493332e-04       1.028879321646e+03 
       2.360134585056e-04       1.072176180997e+03 
       2.564484230016e-04       1.121812209391e+03 
       2.779300823240e-04       1.177530029066e+03 
       3.005840901019e-04       1.239013482354e+03 
       3.245491896530e-04       1.306491398947e+03 
       3.499784725329e-04       1.380149089741e+03 
       3.770405483374e-04       1.460153886118e+03 
       4.059205228533e-04       1.546973887526e+03 
       4.368206435621e-04       1.641027991339e+03 
       4.699604279261e-04       1.742856045864e+03 
       5.055760447502e-04       1.853101358635e+03 
       5.439186799037e-04       1.972360963849e+03 
       5.852515973056e-04       2.101332390150e+03 
       6.298456220034e-04       2.240735162081e+03 
       6.779728455585e-04       2.391151681613e+03 
       7.298985045244e-04       2.552931915488e+03 
       7.858712198764e-04       2.727549738401e+03 
       8.461120957031e-04       2.914398489711e+03 
       9.108035130982e-04       3.113989324655e+03 
       9.800787393052e-04       3.326494421937e+03 
       1.054013603291e-03       3.551626576513e+03 
       1.132621383586e-03       3.788990967797e+03 
       1.215851687364e-03       4.037940602680e+03 
       1.303593532156e-03       4.297724875478e+03 
       1.395682210468e-03       4.567564393191e+03 
       1.491908987772e-03       4.843929591415e+03 
       1.592032383337e-03       5.129956524372e+03 
       1.695789755582e-03       5.421985423003e+03 
       1.802908116008e-03       5.719058025392e+03 
       1.913113431076e-03       6.019990323524e+03 
       2.026138033821e-03       6.323452983876e+03 
       2.141726077537e-03       6.628217657419e+03 
       2.259637183339e-03       6.933591412730e+03 
       2.379648557374e-03       7.238908347934e+03 
       2.501555898998e-03       7.543162594688e+03 
       2.625173412846e-03       7.845126472190e+03 
       2.750333199085e-03       8.146325841158e+03 
       2.876884245027e-03       8.444530939841e+03 
       3.004691189378e-03       8.739892263187e+03 
       3.133632984034e-03       9.031750357560e+03 
       3.263601540084e-03       9.319802863315e+03 
       3.394500414922e-03       9.603901555122e+03 
       3.526243575185e-03       9.883749383778e+03 
       3.658754254424e-03       1.015924117147e+04 
       3.791963913477e-03       1.043023427004e+04 
       3.925811304325e-03       1.069648943759e+04 
       4.060241633705e-03       1.095821734702e+04 
       4.195205820085e-03       1.121512671747e+04 
       4.330659836327e-03       1.146752988198e+04 
       4.466564129808e-03       1.171462738385e+04 
       4.602883111892e-03       1.195752481755e+04 
       4.739584708979e-03       1.219501686337e+04 
       4.876639967945e-03       1.242766591160e+04 
       5.014022709428e-03       1.265608002697e+04 
       5.151709223079e-03       1.287952836674e+04 
       5.289677999554e-03       1.309726294585e+04 
       5.427909494636e-03       1.331006585960e+04 
       5.566385921414e-03       1.351884058093e+04 
       5.705091067007e-03       1.372278005543e+04 
       5.844010130698e-03       1.392199906945e+04 
       5.983129580812e-03       1.411577010731e+04 
       6.122437027980e-03       1.430695411548e+04 
       6.261921112749e-03       1.449219103265e+04 
       6.401571405767e-03       1.467341520922e+04 
       6.541378319008e-03       1.485118521979e+04 
       6.681333026685e-03       1.502377807020e+04 
       6.821427394692e-03       1.519147715064e+04 
       6.961653917561e-03       1.535559155706e+04 
       7.102005662048e-03       1.551743064565e+04 
       7.242476216559e-03       1.567288750375e+04 
       7.383059645777e-03       1.582526392838e+04 
       7.523750449857e-03       1.597329753605e+04 
       7.664543527705e-03       1.611750920128e+04 
       7.805434143869e-03       1.625818307392e+04 
       7.946417898653e-03       1.639455080891e+04 
       8.087490701098e-03       1.652755775827e+04 
       8.228648744524e-03       1.665663599523e+04 
       8.369888484364e-03       1.678242456862e+04 
       8.511206618042e-03       1.690256332395e+04 
       8.652600066693e-03       1.702097988062e+04 
       8.794065958527e-03       1.713604051589e+04 
       8.935601613676e-03       1.724778980103e+04 
       9.077204530377e-03       1.735619350937e+04 
       9.218872372354e-03       1.746124880526e+04 
       9.360602957284e-03       1.756316887781e+04 
       9.502394246250e-03       1.766180330159e+04 
       9.644244334069e-03       1.775758610659e+04 
       9.786151440436e-03       1.785006096845e+04 
       9.928113901788e-03       1.793948975835e+04 
       1.007013016383e-02       1.802602017244e+04 
       1.021219877468e-02       1.810950160281e+04 
       1.035431837852e-02       1.819016085513e+04 
       1.049648770980e-02       1.826869910818e+04 
       1.063870558785e-02       1.834403790499e+04 
       1.078097091196e-02       1.841575147079e+04 
