# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.114737635953e-10       3.046864682577e-15       2.622354140559e-13       1.641463273118e-19       7.749324560605e-09   	 4.096674551685e-10      -1.527359828712e-12 
    3       1.053747727897e-10       3.917599332957e-15       2.956227941814e-13       3.283406221462e-19       4.715022209147e-09       2.867022622793e-10      -1.155946218263e-12 
    4       9.989170657311e-11       3.398669380480e-15       2.770853275056e-13       5.473409799105e-19       3.244771294881e-09       2.150237221964e-10      -7.532061847635e-13 
    5       9.598964808010e-11       2.274752908777e-15       2.364733005547e-13       8.212113727764e-19       2.401058928951e-09       1.685663097217e-10      -4.132095958586e-13 
    6       9.353606540466e-11       1.283945227289e-15       1.911071481922e-13       1.150031711815e-18       1.861618841040e-09       1.363283021689e-10      -1.620236165248e-13 
    7       9.216910046604e-11       7.151058056240e-16       1.509888030812e-13       1.533897725908e-18       1.491749433099e-09       1.128571466978e-10      -1.494519616537e-15 
    8       9.161800867880e-11       4.870277708225e-16       1.204647503882e-13       1.972920738462e-18       1.225219782038e-09       9.514306150808e-11       8.031334338402e-14 
    9       9.168760447594e-11       4.081788310479e-16       1.004361422230e-13       2.467227307943e-18       1.025960015940e-09       8.144939241631e-11       1.025191362737e-13 
   10       9.220775045934e-11       3.537774744684e-16       8.976668853001e-14       3.016958698986e-18       8.725684378961e-10       7.067386275218e-11       8.661433018679e-14 
   11       9.307053503553e-11       2.963945407725e-16       8.634078406071e-14       3.622270154079e-18       7.451432122387e-10       6.270346737147e-11       5.285661524427e-14 
   12       9.423824889501e-11       2.540253387809e-16       8.779073731476e-14       4.283329941187e-18       6.491092789109e-10       5.543575015647e-11       1.657689426961e-14 
   13       9.556626452087e-11       2.394309199472e-16       9.204867951375e-14       5.000318160309e-18       5.704727487740e-10       4.944318683685e-11      -1.188548925468e-14 
   14       9.711635794729e-11       2.471921105796e-16       9.763995496901e-14       5.773425301230e-18       5.052096998400e-10       4.425729347251e-11      -2.829447335356e-14 
